,NaiveBayes,DecisionTree,RandomForest,LogisticRegression,AdaBoost
BOW,0.8917089678510999,0.9877326565143824,0.9868866328257191,0.9864636209813875,0.9805414551607445
TFIDF,0.9619289340101523,0.988155668358714,0.9851945854483926,0.9830795262267343,0.9500846023688664
